 RomanNum I 
 RomanNum I 
 RomanNum I 
 RomanNum I 
 RomanNum I 
 RomanNum I 
 RomanNum I 
 RomanNum I 
 RomanNum I 	
 RomanNum I 

 RomanNum I 
 RomanNum I 
 RomanNum I 
 RomanNum I 
 RomanNum I 
 RomanNum I 
 RomanNum I 
 RomanNum I 
 RomanNum I 
 RomanNum I 
 RomanNum I 
 RomanNum I 
 RomanNum I 
 RomanNum I 
 RomanNum I 
 RomanNum I 
 RomanNum I 
 RomanNum I 
 RomanNum I 
 RomanNum I 
 RomanNum I 
 RomanNum I  
 RomanNum I !
 RomanNum I "
 RomanNum I #
 RomanNum I $
 RomanNum I %
 RomanNum I &
 RomanNum I '
 RomanNum I (
 RomanNum I )
 RomanNum I *
 RomanNum I +
 RomanNum I ,
 RomanNum I -
 RomanNum I .
 RomanNum I /
 RomanNum I 0
 RomanNum I 1
 RomanNum I 2
 RomanNum I 3
 RomanNum I 4
 RomanNum I 5
 RomanNum I 6
 RomanNum I 7
 RomanNum I 8
 RomanNum I 9
 RomanNum I :
 RomanNum I ;
 RomanNum I <
 RomanNum I =
 RomanNum I >
 RomanNum I ?
 RomanNum I @
 RomanNum I A
 RomanNum I B
 RomanNum I C
 RomanNum I D
 RomanNum I E
 RomanNum I F
 RomanNum I G
 RomanNum I H
 RomanNum I I
 RomanNum I J
 RomanNum I K
 RomanNum I L
 RomanNum I M
 RomanNum I N
 RomanNum I O
 RomanNum I P
 RomanNum I Q
 RomanNum I R
 RomanNum I S
 RomanNum I T
 RomanNum I U
 RomanNum I V
 RomanNum I W
 RomanNum I X
 RomanNum I Y
 RomanNum I Z
 RomanNum I [
 RomanNum I \
 RomanNum I ]
 RomanNum I ^
 RomanNum I _
 RomanNum I `
 RomanNum I a
 RomanNum I b
 RomanNum I c
 RomanNum I d
 RomanNum I e
 RomanNum I f
 RomanNum I g
 RomanNum I h
 RomanNum I i
 RomanNum I j
 RomanNum I k
 RomanNum I l
 RomanNum I m
 RomanNum I n
 RomanNum I o
 RomanNum I p
 RomanNum I q
 RomanNum I r
 RomanNum I s
 RomanNum I t
 RomanNum I u
 RomanNum I v
 RomanNum I w
 RomanNum I x
 RomanNum I y
 RomanNum I z
 RomanNum I {
 RomanNum I |
 RomanNum I }
 RomanNum I ~
 RomanNum I 
 RomanNum I €
 RomanNum I 
 RomanNum I ‚
 RomanNum I ƒ
 RomanNum I „
 RomanNum I …
 RomanNum I †
 RomanNum I ‡
 RomanNum I ˆ
 RomanNum I ‰
 RomanNum I Š
 RomanNum I ‹
 RomanNum I Œ
 RomanNum I 
 RomanNum I 
 RomanNum I 
 RomanNum I 
 RomanNum I ‘
 RomanNum I ’
 RomanNum I “
 RomanNum I ”
 RomanNum I •
 RomanNum I –
 RomanNum I —
 RomanNum I ˜
 RomanNum I ™
 RomanNum I š
 RomanNum I ›
 RomanNum I œ
 RomanNum I 
 RomanNum I 
 RomanNum I Ÿ
 RomanNum I  
 RomanNum I ¡
 RomanNum I ¢
 RomanNum I £
 RomanNum I ¤
 RomanNum I ¥
 RomanNum I ¦
 RomanNum I §
 RomanNum I ¨
 RomanNum I ©
 RomanNum I ª
 RomanNum I «
 RomanNum I ¬
 RomanNum I ­
 RomanNum I ®
 RomanNum I ¯
 RomanNum I °
 RomanNum I ±
 RomanNum I ²
 RomanNum I ³
 RomanNum I ´
 RomanNum I µ
 RomanNum I ¶
 RomanNum I ·
 RomanNum I ¸
 RomanNum I ¹
 RomanNum I º
 RomanNum I »
 RomanNum I ¼
 RomanNum I ½
 RomanNum I ¾
 RomanNum I ¿
 RomanNum I À
 RomanNum I Á
 RomanNum I Â
 RomanNum I Ã
 RomanNum I Ä
 RomanNum I Å
 RomanNum I Æ
 RomanNum I Ç
 RomanNum I È
 RomanNum I É
 RomanNum I Ê
 RomanNum I Ë
 RomanNum I Ì
 RomanNum I Í
 RomanNum I Î
 RomanNum I Ï
 RomanNum I Ğ
 RomanNum I Ñ
 RomanNum I Ò
 RomanNum I Ó
 RomanNum I Ô
 RomanNum I Õ
 RomanNum I Ö
 RomanNum I ×
 RomanNum I Ø
 RomanNum I Ù
 RomanNum I Ú
 RomanNum I Û
 RomanNum I Ü
 RomanNum I İ
 RomanNum I Ş
 RomanNum I ß
 RomanNum I à
 RomanNum I á
 RomanNum I â
 RomanNum I ã
 RomanNum I ä
 RomanNum I å
 RomanNum I æ
 RomanNum I ç
 RomanNum I è
 RomanNum I é
 RomanNum I ê
 RomanNum I ë
 RomanNum I ì
 RomanNum I í
 RomanNum I î
 RomanNum I ï
 RomanNum I ğ
 RomanNum I ñ
 RomanNum I ò
 RomanNum I ó
 RomanNum I ô
 RomanNum I õ
 RomanNum I ö
 RomanNum I ÷
 RomanNum I ø
 RomanNum I ù
 RomanNum I ú
 RomanNum I û
 RomanNum I ü
 RomanNum I ı
 RomanNum I ş
 RomanNum I ÿ
